zips,latitude,longitude
10016,40.74481,-73.979569
10017,40.753112,-73.973747
10018,40.753333,-73.988233
10018,40.756064,-73.995228
10036,40.756714,-73.984241
10036,40.759444,-73.990335
10036,40.762045,-73.995142
10019,40.764052,-73.981222
10019,40.76656,-73.988121
10019,40.768493,-73.992261
10022,40.760013,-73.972942
10022,40.757737,-73.966633
10021,40.771468,-73.963274
10021,40.768478,-73.955807
10023,40.771945,-73.98351
10023,40.774935,-73.9866
10023,40.779355,-73.983424
10023,40.775488,-73.979433
10024,40.784916,-73.973616
10024,40.787888,-73.976665
10028,40.778019,-73.957885
10028,40.775419,-73.950761
10128,40.783837,-73.95423
10128,40.78127,-73.948995
10025,40.792842,-73.96761
10025,40.796773,-73.971558
10025,40.802946,-73.966795
10025,40.798625,-73.964649
10029,40.789713,-73.950459
10029,40.787861,-73.944537
10029,40.791728,-73.940589
10029,40.795431,-73.943936
10035,40.798797,-73.933186
10035,40.803005,-73.938173
10026,40.802676,-73.952509
10027,40.812387,-73.950605
10027,40.813881,-73.960089
10065,40.766658,-73.967137
10065,40.764116,-73.958632
10128,40.78517,-73.949209
10128,40.779516,-73.952299
10128,40.782733,-73.951355
10023,40.775455,-73.982738
10023,40.77773,-73.986557
10023,40.773278,-73.979862
10021,40.771663,-73.957481
10021,40.76734,-73.960227
10019,40.769404,-73.986529
10019,40.763943,-73.990134
10017,40.754776,-73.977531
10017,40.751118,-73.969034
10018,40.754914,-73.991258
10018,40.756827,-73.996947
10016,40.740301,-73.976233
10016,40.749274,-73.981383
10016,40.746283,-73.973229
10023,40.780882,-73.981236
10023,40.779355,-73.977674
10021,40.773678,-73.963789
10021,40.769356,-73.952417
10065,40.762186,-73.964975
10022,40.757575,-73.975602
10022,40.754682,-73.966976
10017,40.751752,-73.979119
10017,40.749688,-73.972703
10016,40.744072,-73.985159
10019,40.76539,-73.995971
10019,40.77176,-73.992194
10019,40.764772,-73.982667
10019,40.764024,-73.975028
10019,40.761067,-73.977946
10019,40.767356,-73.983182
10019,40.76222,-73.985671
10065,40.765014,-73.969653
10065,40.766249,-73.963259
10065,40.761275,-73.958409
10018,40.755706,-73.998919
10018,40.754178,-73.995485
10018,40.764772,-73.982667
10018,40.750342,-73.984928
10016,40.741991,-73.980868
10016,40.747356,-73.983014
10016,40.747584,-73.976834
10016,40.74352,-73.97413
10010,40.742637,-73.98917
10010,40.740361,-73.984835
10010,40.737532,-73.978956
10003,40.733937,-73.984557
10003,40.735953,-73.989749
10003,40.733221,-73.992453
10003,40.73127,-73.987174
10003,40.729774,-73.993826
10003,40.726294,-73.989578
10009,40.731496,-73.979749
10009,40.728829,-73.975629
10009,40.728146,-73.982366
10009,40.725642,-73.976916
10009,40.724146,-73.98477
10009,40.722032,-73.977774
10002,40.719921,-73.989645
10002,40.71771,-73.982007
10002,40.714977,-73.992306
10002,40.71205,-73.987242
10001,40.752382,-74.000153
10001,40.748156,-73.992771
10011,40.744678,-74.003824
10011,40.742142,-73.997215
10011,40.737069,-73.997988
10014,40.736969,-74.00621
10014,40.731051,-74.005351
10012,40.726609,-74.00001
10012,40.724185,-73.995943
10004,40.704192,-74.01298
10005,40.706294,-74.008926
10006,40.709455,-74.013012
10007,40.713864,-74.008769
10038,40.709174,-74.005188
10013,40.72196,-74.007818
10013,40.719049,-74.001831
10031,40.820018,-73.955081
10031,40.824435,-73.950403
10031,40.82817,-73.948085
10030,40.818411,-73.943257
10037,40.813644,-73.937406
10032,40.835785,-73.944151
10032,40.839811,-73.94149
10039,40.824933,-73.938563
10039,40.829804,-73.93719
10033,40.849877,-73.935704
10040,40.854675,-73.929402
10040,40.860971,-73.929574
10034,40.864755,-73.921137
10034,40.870142,-73.915902
10468,40.86344,-73.903789
10468,40.868179,-73.899154
10468,40.874085,-73.891172
10453,40.850019,-73.916512
10453,40.854694,-73.911362
10452,40.832606,-73.926268
10452,40.836308,-73.926569
10452,40.835236,-73.921633
10452,40.840626,-73.924165
10452,40.841243,-73.917943
10467,40.878619,-73.878913
10467,40.863821,-73.867068
10467,40.872258,-73.866296
10467,40.878878,-73.865008
10458,40.857029,-73.886852
10458,40.86339,-73.892002
10458,40.868778,-73.887281
10457,40.843446,-73.908735
10457,40.841368,-73.902298
10457,40.84442,-73.899165
10457,40.84929,-73.902212
10457,40.846465,-73.896805
10457,40.846271,-73.891612
10457,40.849452,-73.890882
10457,40.851075,-73.896376
10457,40.853153,-73.89938
10460,40.835375,-73.887197
10460,40.841934,-73.884279
10460,40.840051,-73.875696
10462,40.835128,-73.85254
10462,40.839999,-73.859235
10462,40.847141,-73.86138
10461,40.842585,-73.834857
10461,40.84278,-73.845843
10461,40.849208,-73.850306
10461,40.849662,-73.83726
10469,40.864671,-73.853197
10469,40.87233,-73.853197
10469,40.870058,-73.843841
10469,40.864541,-73.842125
10453,40.848851,-73.910203
10453,40.855538,-73.905054
10453,40.850831,-73.907371
10468,40.859351,-73.900957
10458,40.859561,-73.895264
11209,40.620419,-74.03381
11209,40.629083,-74.030205
11228,40.612745,-74.017786
11228,40.619977,-74.011864
11214,40.605318,-73.999975
11214,40.595608,-73.992164
11223,40.593742,-73.971839
11223,40.600324,-73.973298
11229,40.598543,-73.947359
11229,40.604799,-73.949848
11210,40.622894,-73.949309
11210,40.629864,-73.950425
11210,40.631428,-73.941928
11230,40.617407,-73.96438
11230,40.625877,-73.965496
11204,40.613014,-73.979927
11204,40.618161,-73.989282
11204,40.623438,-73.983875
11219,40.629497,-74.00089
11219,40.635308,-73.994948
11218,40.649281,-73.975842
11218,40.642508,-73.981078
11218,40.639968,-73.972409
11226,40.643217,-73.959093
11226,40.650055,-73.95566
11203,40.644667,-73.938334
11203,40.645579,-73.929322
11203,40.651961,-73.939965
11203,40.653458,-73.930695
11203,40.659563,-73.937326
11212,40.661703,-73.918156
11212,40.664568,-73.908543
11233,40.673808,-73.921284
11233,40.678788,-73.914847
11233,40.681163,-73.924589
11213,40.668253,-73.936842
11213,40.673689,-73.936456
11225,40.660832,-73.95299
11225,40.665488,-73.954277
11215,40.666076,-73.987896
11215,40.670503,-73.983862
11217,40.683626,-73.983758
11217,40.683626,-73.976591
11217,40.678972,-73.975218
11238,40.677089,-73.963084
11238,40.682296,-73.964114
11216,40.675311,-73.951881
11216,40.680812,-73.95231
11216,40.681462,-73.944242
11216,40.685661,-73.949949
11221,40.68874,-73.937906
11221,40.690693,-73.928465
11221,40.695411,-73.926319
11221,40.692222,-73.919539
11206,40.705153,-73.944411
11206,40.698321,-73.946385
11206,40.70203,-73.938059
11205,40.69279,-73.968129
11205,40.693798,-73.959933
11211,40.711297,-73.957363
11211,40.713834,-73.948007
11211,40.716632,-73.938051
11237,40.706808,-73.925417
11237,40.700171,-73.915461
11211,40.716892,-73.935819
11211,40.715265,-73.945604
11211,40.709797,-73.957034
11222,40.724945,-73.942063
11222,40.730927,-73.951763
11102,40.772956,-73.93026
11102,40.770584,-73.923694
11103,40.760047,-73.91558
11103,40.764435,-73.912146
11377,40.739322,-73.909714
11377,40.750831,-73.904393
11377,40.742248,-73.901389
11369,40.763229,-73.871956
11372,40.751113,-73.88992
11372,40.752089,-73.880951
11373,40.740596,-73.882919
11373,40.737279,-73.873821
11368,40.751764,-73.860198
11368,40.74227,-73.855563
11375,40.716119,-73.846099
11375,40.725356,-73.847301
11374,40.725206,-73.862091
11416,40.683265,-73.855394
11416,40.685251,-73.847111
11417,40.678966,-73.840034
11417,40.676525,-73.85042
11417,40.672423,-73.841322
11419,40.687552,-73.828538
11419,40.689927,-73.820212
11420,40.672206,-73.823993
11420,40.674354,-73.813522
11432,40.712022,-73.799078
11432,40.71573,-73.788092